Marital Status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification Group;Previous qualification (grade);Nationality Group;Mother's qualification Group;Father's qualification Group;Mother's occupation Group;Father's occupation Group;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;Curricular units 1st sem (evaluations);Curricular units 1st sem (without evaluations);Curricular units 1st sem (Approved/Enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (without evaluations);Curricular units 2nd sem (Approved/Enrolled);Unemployment rate;Inflation rate;GDP;Target
1;43;-1.7316968666316976;9147;1;-3.0781385481239893;-10.020425731506942;-0.4478770895114957;-2.8519141796797496;-1.5940928228489972;-1.3495296801241716;-1.2761586253038824;-8.785015171630015;0;0;0;1;0;1;-3.1253769784824064;-2.1977824904928296;-0.4943525490553087;0.2121010094051557;-1.9593698400775348;7.8759013716763;0.4612021542359994;-3.68973600827532;-1.3730189370110195;-0.1690195646558445;1
1;7;-1.7316968666316976;9003;1;-10.007425243204253;-10.21411779963194;-0.4478770895114957;-4.566269258157115;-3.701197167947771;-2.880037537609065;-2.6321991933546456;-8.922224930313346;1;0;0;1;0;0;-2.907180866093925;-1.9969741741801064;-0.4943525490553087;-0.4925202707654224;-1.726993697616778;-0.4688016815309918;0.4612021542359994;-3.787968889546303;-0.0701491691143375;-0.7832207064698774;1
1;1;0.5429618062850633;9500;1;-3.0781385481239893;-10.161292690143304;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.3495296801241716;-1.615168767316573;-8.878791625406393;1;0;0;1;0;0;-3.1085926621448308;-2.331654701367978;-0.4943525490553087;-0.995821185172978;-2.424122124999049;-0.4688016815309918;-0.6020048096789214;-4.896597121033111;-0.1743787505460719;0.0735312047229456;1
1;17;-1.7316968666316976;9773;1;-3.0781385481239893;-10.155423233533456;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-2.2678343946151074;-1.615168767316573;-8.891624192765265;0;0;0;1;1;1;-3.1253769784824064;-2.331654701367978;-0.4943525490553087;0.2121010094051557;-2.346663410845464;-0.4688016815309918;0.4612021542359994;-3.68973600827532;-1.3730189370110195;-0.1690195646558445;1
1;7;-1.7316968666316976;9500;1;-10.007425243204253;-10.155423233533456;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.3495296801241716;-2.2931890513419546;-8.872868902009989;0;0;0;1;0;0;-2.823259284406048;-2.331654701367978;13.400670669248989;-8.243354352641777;-2.424122124999049;11.213782592959218;-6.981246593168445;-3.68973600827532;-1.3730189370110195;-0.1690195646558445;0
1;1;-1.7316968666316976;9773;1;-3.0781385481239893;-10.061511927775882;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.3495296801241716;-1.954178909329264;-8.778105327667545;1;0;0;1;1;1;-3.07502402946968;-2.3985908068055526;-0.4943525490553087;0.2121010094051557;-2.501580839152634;-0.4688016815309918;0.4612021542359994;-4.180900414630234;0.3988839473284681;-0.3215918228134705;1
1;1;-1.7316968666316976;9500;1;-3.0781385481239893;-10.120206493874369;-0.4478770895114957;-2.8519141796797496;-3.701197167947771;-2.2678343946151074;-2.6321991933546456;-8.903469639558072;0;0;0;1;0;0;-3.1085926621448308;-2.130846385055256;-0.4943525490553087;-0.995821185172978;-2.346663410845464;-0.4688016815309918;0.4612021542359994;-4.012501189594263;-1.6857076813062235;0.1654657705358741;1
1;17;-1.7316968666316976;9254;1;-3.0781385481239893;-10.1847705165827;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.65563125162115;-2.2931890513419546;-8.932096135974017;1;0;0;1;0;1;-3.1085926621448308;-2.130846385055256;-0.4943525490553087;-2.606384111277156;-2.2692046966918777;-0.4688016815309918;-3.2600222194662227;-4.643998283479154;-1.94628163488556;-0.5993515748440206;1
1;1;0.5429618062850633;9500;1;-3.0781385481239893;-10.137227918042926;-0.4478770895114957;-2.8519141796797496;-3.701197167947771;-1.9617328231181288;-1.954178909329264;-8.907418121822339;1;0;0;1;0;0;-3.1085926621448308;-2.264718595930404;-0.4943525490553087;-0.8448309108507108;-2.346663410845464;-0.4688016815309918;-0.4691039391895559;-4.180900414630234;0.3988839473284681;-0.3215918228134705;1
1;17;1.1116264745142534;9147;1;-3.0781385481239893;-10.155423233533456;-0.4478770895114957;-1.1375591012023838;-1.5940928228489972;-1.3495296801241716;-1.615168767316573;-8.969606717484568;1;0;0;1;1;0;-3.0078867641193776;-1.7961658578673834;-0.4943525490553087;-0.9152930388677684;-1.8044524117703635;-0.4688016815309918;-0.6020048096789214;-4.896597121033111;-0.1743787505460719;0.0735312047229456;0
